TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     19406,     22488,     64325,         0,       321,         0,         0,     18497,     20580,     59679,        24,       186,         0,         0
         2,     30002,134.110399,      38.5,         0,     20690,     24186,     64361,         0,       252,         0,         0,     19760,     22200,     59490,        39,       163,         0,         0
         3,     30003,636.842231,      18.5,         0,     32367,     49804,     81584,         0,       592,         0,        13,     31275,     41448,     73199,        19,       281,         0,        10
         4,     30004,371.455595,       5.3,         0,     28259,     41467,     71686,         0,       412,         0,         0,     27362,     35211,     65506,         5,       206,         0,         0
         5,     30005,1021.14860,      70.5,      10.1,     23465,     28509,     81026,        10,       946,         0,         0,     22535,     25885,     72511,        71,       605,         0,         0
         6,     30006,466.806807,       8.6,       4.4,     33880,     52623,     91716,         4,      1134,         0,        19,     32601,     43571,     80821,         9,       550,         0,        14
         7,     30007,790.695572,      44.0,      63.8,     32791,     50575,     93194,        64,       893,         0,        15,     31651,     42036,     82291,        44,       399,         0,        11
         8,     30008,1096.14708,      53.2,      44.7,     32691,     47259,    105954,        45,      7341,         0,         0,     31553,     39998,     91688,        53,      5055,         0,         0
         9,     30009,393.372048,      37.1,      71.4,     47529,     75888,    116569,        75,      2066,         0,        72,     43942,     61866,    100384,        39,       981,         0,        60
        10,     30010,901.614282,      19.7,      52.6,     49458,     78926,    117238,        58,      3531,         0,        78,     45604,     64149,    100859,        23,      1784,         0,        67
        11,     30011,1280.56028,       8.3,         0,     42707,     67748,    131999,         0,      2924,         0,        54,     39883,     55415,    113470,         8,      1356,         0,        44
        12,     30012,599.771853,      21.4,         0,     53514,     85582,    135306,         0,      7631,         0,        93,     48905,     68989,    116005,        21,      4404,         0,        80
        13,     30013,278.359848,      14.4,         0,     65482,    106096,    143969,         0,     11562,         0,       149,     58781,     84519,    122555,        30,      7475,         0,       102
        14,     30014,227.153493,      24.7,         0,     60439,     97299,    136765,        36,     12918,         0,       116,     54745,     77916,    116718,       141,      8693,         0,        79
        15,     30015,3152.46340,       1.0,     321.3,     37987,     58384,     92869,       321,      2370,         0,        35,     35998,     48007,     81544,         1,      1521,         0,        26
        16,     30016,746.812178,      87.4,      66.9,         0,         0,         0,        67,     11324,         0,         0,         0,         0,         0,        87,      7670,         0,         0
        17,     30017,407.588378,     254.5,         0,     52095,     83864,    136859,         0,      7621,         0,        88,     47884,     67837,    116923,       255,      4396,         0,        75
        18,     30018,309.030427,         0,     829.7,     56980,     91182,    143069,       830,     11071,         0,       104,     51980,     73395,    121667,         0,      7175,         0,        90
        19,     30019,196.205397,     207.4,      52.5,     43403,     67342,    133392,        55,     12774,      8648,      1345,     40837,     55497,    113488,       228,      8901,      6910,      1517
        20,     30020,173.846732,     195.6,     151.0,     36676,     55210,    130498,       210,     12255,     10506,      1408,     35449,     46189,    110941,       305,      8882,      8766,      1709
        21,     30021,128.632214,      82.4,     475.8,     52421,     83261,    145262,       604,     13420,         0,      2243,     48277,     67552,    123391,       233,      9178,         0,      2034
        22,     30022,104.210697,      91.9,     121.7,     50694,     80013,    145858,       914,     14227,         0,      1620,     46809,     65172,    123855,       350,      9954,         0,      1946
        23,     30023,135.607746,      77.8,     187.9,     47786,     74758,    144781,       548,     14732,      8404,      1030,     44382,     61228,    122933,       546,     10589,      5450,      1235
        24,     30024,101.657431,     149.1,      16.3,     44655,     69548,    142570,       400,     14730,     10578,       587,     41888,     57256,    121040,       808,     10646,      8206,      1011
        25,     30025,113.044793,     300.0,     161.7,     41366,     63798,    140793,       517,     14566,     12875,       864,     39389,     52896,    119443,      1100,     10614,     10833,       991
        26,     30026, 56.631464,     183.0,     183.1,     40043,     61458,    141726,       647,     14327,     14276,       903,     38406,     51145,    120106,      1318,     10498,     12255,      1109
        27,     30027,153.111351,     129.4,      14.2,     50703,     80824,    131652,       279,     14346,         0,      1555,     46769,     65727,    112690,       220,     10047,         0,      1720
        28,     30028,203.300975,     219.3,     286.0,     46334,     72646,    127081,      1733,     15644,      7942,      1150,     43129,     59534,    108996,       391,     11553,      5456,      1370
        29,     30029, 83.574133,     199.8,       4.1,     42853,     67376,    128648,       616,     15808,     11030,       395,     40546,     55660,    110025,      1061,     11835,      8148,       743
        30,     30030,108.781129,     309.3,      83.3,     38939,     60303,    124529,      1287,     15573,     13689,       764,     37571,     50312,    106696,      1617,     11695,     11277,       994
        31,     30031, 64.047264,     200.0,     180.2,     40161,     62536,    126724,      1315,     15233,     12321,       686,     38582,     52064,    108294,      1501,     11455,     11950,       905
        32,     30032, 46.605744,     130.1,       4.1,     37810,     57446,    137821,       480,     13973,     11646,       866,     36536,     48013,    116925,      1129,     10265,      9893,      1056
        33,     30033, 64.212087,     154.3,      11.6,     36524,     55787,    119090,      1139,     14865,     11510,       788,     35550,     46856,    102215,      1546,     11181,      9915,      1064
        34,     30034, 67.305935,     173.3,      16.3,     35307,     52678,    134886,       241,     13583,      9600,      1374,     34261,     44311,    114600,      1056,     10072,      7898,      1626
        35,     30035, 80.425663,     257.1,         0,     33776,     50347,    115971,       231,     14154,      8614,       839,     33052,     42767,     99181,      1316,     10711,      6994,      1054
        36,     30036, 66.078085,     126.8,         0,     30043,     41803,    106336,        56,     12975,         0,      1869,     29281,     36411,     91618,       773,      9896,         0,      1945
        37,     30037,213.267221,      77.4,     100.7,     65327,    106041,    150069,       339,     15192,         0,      1465,     58768,     84553,    127276,       218,     10879,         0,      1782
        38,     30038,207.268944,       2.3,    1246.2,     57643,     93452,    146076,      1962,     16451,      6006,       496,     52730,     75269,    124046,       367,     12403,      4156,       887
        39,     30039, 82.626687,      78.5,     187.6,     43612,     68553,    127556,      3476,     16536,      8481,       268,     41141,     56556,    109235,       885,     12682,      6578,       575
        40,     30040,118.118363,     338.7,     264.4,     41489,     64858,    125846,      4187,     16358,     11031,       198,     39501,     53743,    107818,      1390,     12557,      9832,       576
        41,     30041, 42.716753,     107.7,     611.7,     38018,     58505,    121950,      2460,     15884,     10659,       359,     36810,     48928,    104643,      1549,     12180,     11257,       739
        42,     30042, 43.532671,      70.0,      81.7,     39284,     61231,    128993,      1767,     15527,      9880,       658,     37892,     51074,    110142,      1400,     11901,      9921,       896
        43,     30043, 79.992258,     205.4,      82.4,     35594,     54171,    122920,       469,     14754,      7254,       836,     34780,     45654,    104715,      1225,     11308,      7051,      1072
        44,     30044, 35.151657,     163.6,         0,     34503,     51893,    122320,       129,     14100,         0,       849,     33784,     43932,    104188,       959,     10925,         0,      1072
        45,     30045, 43.925164,     156.1,      25.8,     33496,     49600,    122651,        89,     13727,         0,       868,     32767,     42192,    104464,       551,     10771,         0,      1061
        46,     30046,151.481435,         0,         0,     30509,     42796,    120878,        26,     12840,         0,      1290,     29758,     37165,    103145,       177,     10399,         0,      1423
        47,     30047,         0,         0,         0,     40340,     62774,    152279,         0,      5283,         0,        46,     37677,     51228,    130585,         0,      4093,         0,        36
        48,     30048,456.875777,      11.4,         0,     51693,     82259,    141613,         0,      3843,         0,        87,     47328,     66470,    121444,        11,      2180,         0,        75
        49,     30049,239.937161,      96.7,     308.5,     65007,    105486,    156427,       384,     15795,         0,       748,     58527,     84148,    132515,       227,     11464,         0,      1074
        50,     30050,248.042036,     154.3,     475.7,     56221,     90895,    151077,      1567,     16841,      5961,       274,     51667,     73452,    128213,       254,     12845,      3971,       506
        51,     30051, 46.653357,      69.0,      88.8,     43663,     72739,    130511,      3042,     16920,      8428,       165,     41352,     59969,    111806,       868,     13132,      5597,       368
        52,     30052, 45.509891,      46.0,    1800.4,     44788,     70637,    134642,      3765,     16793,      7920,       226,     42148,     58246,    114922,       895,     13007,      7915,       443
        53,     30053, 77.585652,     220.2,    1237.1,     42420,     66436,    132583,      4714,     16615,     10827,       152,     40391,     55110,    113273,      1332,     12902,      9781,       456
        54,     30054, 72.913789,     170.3,     669.9,     40330,     62741,    129633,      3195,     16257,      9580,       231,     38734,     52235,    110835,      1291,     12631,     10523,       665
        55,     30055, 75.013534,     156.2,     210.5,     39542,     65178,    128146,      2014,     15942,      8586,       358,     38351,     54237,    109116,       946,     12391,      9159,       756
        56,     30056, 26.131260,      37.1,         0,     38720,     63696,    129728,       956,     15622,         0,       261,     37669,     53060,    110358,       695,     12196,         0,       531
        57,     30057, 28.559692,      87.2,         0,     37796,     58439,    129415,       781,     15167,         0,       669,     36693,     48895,    109937,      1120,     11741,         0,       970
        58,     30058,252.494945,         0,         0,     31933,     45962,    127215,        98,     14625,         0,      1030,     31197,     39515,    108408,       255,     11652,         0,      1310
        59,     30059,190.274203,     129.4,         0,     56289,     90226,    155248,       193,     15951,         0,       692,     51598,     72840,    131901,       271,     11882,         0,      1162
        60,     30060,195.748829,     152.2,         0,     52541,     83755,    156404,       146,     16708,      5474,       354,     48551,     68099,    132785,       883,     12848,      4998,       631
        61,     30061, 88.242831,     255.9,         0,     45238,     76140,    137975,      1096,     16879,      8708,       195,     42643,     62621,    117913,      1503,     13218,      7360,       336
        62,     30062, 75.224599,     205.1,      71.2,     43883,     73599,    131651,      1822,     16805,     12772,       155,     41531,     60628,    112767,      1865,     13276,     10697,       340
        63,     30063, 35.770124,      22.1,     194.3,     41140,     68044,    123467,      3540,     16882,      9150,       177,     39271,     56263,    106205,      1143,     13192,      6024,       318
        64,     30064, 85.373297,     210.3,     163.9,     45451,     76049,    133365,      1692,     16600,      9565,       150,     42952,     62660,    114044,      1965,     13208,      9353,       252
        65,     30065, 97.758595,     265.3,      69.5,     39507,     64917,    122033,      3700,     16705,     11819,       100,     38255,     53984,    104653,      1343,     13127,      9739,       277
