TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     45049,     71640,    144970,         0,       949,         0,         0,     40920,     57678,    121899,        34,       645,         0,         0
         2,     30002,134.110399,      38.5,         0,     48190,     76976,    145141,         0,       793,         0,         0,     43419,     61673,    121870,        39,       543,         0,         0
         3,     30003,636.842231,      18.5,         0,     78278,    124734,    162459,         1,      1624,         0,       442,     67357,     99223,    136351,        21,       918,         0,       401
         4,     30004,371.455595,       5.3,         0,     70281,    113580,    153199,         0,      1160,         0,         0,     60982,     90132,    128677,         6,       696,         0,         0
         5,     30005,1021.14860,      70.5,      10.1,     54899,     88001,    161656,        10,      3742,         0,         0,     48857,     70090,    135329,        71,      2512,         0,         0
         6,     30006,466.806807,       8.6,       4.4,     80979,    128314,    171175,         4,      3413,         0,       472,     69538,    102157,    143434,        14,      1988,         0,       430
         7,     30007,790.695572,      44.0,      63.8,     79034,    125739,    172358,        71,      2615,         0,       450,     67966,    100046,    144675,        48,      1382,         0,       409
         8,     30008,1096.14708,      53.2,      44.7,     75371,    119783,    183330,        45,     11102,         0,         0,     65315,     95397,    153171,        72,      8065,         0,         0
         9,     30009,393.372048,      37.1,      71.4,    103660,    155307,    192640,       114,      5655,         0,       812,     87261,    124099,    160998,        55,      3466,         0,       710
        10,     30010,901.614282,      19.7,      52.6,    106767,    158314,    193297,       102,      7759,         0,       884,     89667,    126551,    161491,        45,      5037,         0,       758
        11,     30011,1280.56028,       8.3,         0,     95686,    146354,    205760,         0,      7848,         0,       648,     81190,    116823,    172145,         8,      5080,         0,       595
        12,     30012,599.771853,      21.4,         0,    113081,    164541,    208928,         0,     11810,         0,      1064,     94471,    131533,    174626,        43,      8444,         0,       865
        13,     30013,278.359848,      14.4,         0,    129046,    182598,    216773,        50,     14234,         0,      2362,    107293,    146434,    180674,        92,     10476,         0,       950
        14,     30014,227.153493,      24.7,         0,    122599,    175048,    210524,       725,     15037,         0,      2058,    102132,    140239,    175589,       242,     11165,         0,       846
        15,     30015,3152.46340,       1.0,     321.3,     87571,    135249,    172324,       321,      6312,         0,       545,     74870,    107802,    144243,         1,      4221,         0,       501
        16,     30016,746.812178,      87.4,      66.9,         0,         0,         0,       457,     13910,         0,         0,         0,         0,         0,       253,     10075,         0,         0
        17,     30017,407.588378,     254.5,         0,    110945,    162954,    210361,       365,     11634,         0,       996,     92928,    130337,    175538,       256,      8104,         0,       825
        18,     30018,309.030427,         0,     829.7,    117907,    169659,    215887,      1160,     13842,         0,      1229,     98435,    135850,    179829,       259,      9980,         0,       944
        19,     30019,196.205397,     207.4,      52.5,     95085,    145207,    207356,       375,     14820,     10361,      2370,     81096,    116169,    172691,       686,     10911,      8807,      2696
        20,     30020,173.846732,     195.6,     151.0,     83052,    130231,    204720,       450,     14508,     12721,      2330,     71633,    104088,    170397,       905,     10976,     10813,      2833
        21,     30021,128.632214,      82.4,     475.8,    110889,    162272,    217699,      1427,     15286,         0,      3634,     93000,    129873,    181279,       490,     11279,         0,      3478
        22,     30022,104.210697,      91.9,     121.7,    107980,    159185,    218186,      1453,     15785,         0,      2895,     90761,    127377,    181667,       694,     11781,         0,      3357
        23,     30023,135.607746,      77.8,     187.9,    102908,    153695,    217222,      1442,     16093,      9491,      2141,     86919,    122964,    180844,      1115,     12180,      6239,      2484
        24,     30024,101.657431,     149.1,      16.3,     97341,    147794,    215305,       983,     16093,     12352,      1552,     82808,    118269,    179205,      1569,     12235,     10071,      2160
        25,     30025,113.044793,     300.0,     161.7,     91345,    140945,    213729,      1141,     15996,     16083,      1879,     78377,    112855,    177815,      1964,     12238,     13322,      2126
        26,     30026, 56.631464,     183.0,     183.1,     89031,    138066,    214544,      1191,     15853,     18019,      1929,     76585,    110575,    178412,      2162,     12189,     14962,      2259
        27,     30027,153.111351,     129.4,      14.2,    108033,    159969,    205822,      1648,     15894,         0,      2815,     90769,    127985,    171872,       501,     11974,         0,      3087
        28,     30028,203.300975,     219.3,     286.0,    100445,    151380,    201770,      2606,     16678,      9105,      2215,     85027,    121062,    168573,       947,     12907,      6321,      2593
        29,     30029, 83.574133,     199.8,       4.1,     94022,    145228,    203098,      3365,     16783,     12526,      1336,     80416,    116284,    169486,      1873,     13117,      9758,      1846
        30,     30030,108.781129,     309.3,      83.3,     87077,    136620,    199409,      3121,     16645,     17077,      1776,     75056,    109448,    166474,      2429,     13054,     13863,      2113
        31,     30031, 64.047264,     200.0,     180.2,     89226,    139394,    201441,      2477,     16439,     16275,      1723,     76799,    111706,    168012,      2703,     12919,     14714,      2033
        32,     30032, 46.605744,     130.1,       4.1,     85040,    133032,    211106,      1050,     15633,     14297,      1806,     73339,    106471,    175628,      1988,     12046,     12149,      2144
        33,     30033, 64.212087,     154.3,      11.6,     82604,    130907,    194704,      2005,     16215,     14284,      1756,     71444,    104804,    162547,      2585,     12758,     12229,      2152
        34,     30034, 67.305935,     173.3,      16.3,     80411,    126926,    208454,       846,     15394,     11621,      2259,     69513,    101391,    173523,      1833,     11939,      9882,      2715
        35,     30035, 80.425663,     257.1,         0,     77006,    123690,    191975,      1114,     15779,     10473,      1320,     66989,     98891,    159917,      2000,     12468,      8939,      1726
        36,     30036, 66.078085,     126.8,         0,     68780,    111380,    183572,       364,     15018,         0,      2466,     60365,     88862,    153089,      1398,     11854,         0,      2688
        37,     30037,213.267221,      77.4,     100.7,    128791,    182543,    222019,      1179,     16429,         0,      4100,    107167,    146440,    184828,       419,     12605,         0,      3305
        38,     30038,207.268944,       2.3,    1246.2,    118620,    171635,    218513,      3690,     17178,      6866,      2007,     99156,    137593,    181963,       902,     13512,      4865,      2333
        39,     30039, 82.626687,      78.5,     187.6,     95457,    146635,    202130,      5856,     17242,     10115,      1439,     81466,    117406,    168764,      1882,     13741,      8197,      1779
        40,     30040,118.118363,     338.7,     264.4,     91579,    142225,    200611,      5698,     17139,     14241,      1303,     78574,    113917,    167501,      2329,     13686,     12301,      1749
        41,     30041, 42.716753,     107.7,     611.7,     85399,    134368,    197144,      4212,     16852,     14797,      1413,     73706,    107643,    164644,      2762,     13458,     14051,      1871
        42,     30042, 43.532671,      70.0,      81.7,     87708,    137786,    203388,      3034,     16629,     12752,      1700,     75584,    110423,    169612,      2617,     13297,     12294,      2015
        43,     30043, 79.992258,     205.4,      82.4,     80796,    128844,    198025,      1520,     16144,      9098,      1787,     70020,    103116,    164862,      2028,     12919,      9054,      2145
        44,     30044, 35.151657,     163.6,         0,     78650,    125801,    197495,       757,     15726,         0,      1348,     68294,    100618,    164398,      1504,     12660,         0,      1752
