TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     18929,     19721,     55091,         0,       258,         0,         0,     12206,     12599,     36984,         8,       122,         0,         0
         2,     30002,134.110399,      13.0,         0,     20327,     21462,     55172,         0,       201,         0,         0,     13116,     13667,     36978,        13,       104,         0,         0
         3,     30003,636.842231,      13.5,         0,     37435,     42985,     69605,         0,       481,         0,         0,     23173,     26336,     45705,        14,       141,         0,         1
         4,     30004,371.455595,       3.3,         0,     32096,     36420,     61320,         0,       330,         0,         0,     19799,     22193,     40782,         3,       137,         0,         0
         5,     30005,1021.14860,      53.5,       5.0,     23717,     25760,     69193,         5,       746,         0,         0,     15233,     16072,     45582,        54,       344,         0,         0
         6,     30006,466.806807,       4.8,       4.4,     39239,     45275,     77619,         4,       910,         0,         3,     24329,     27747,     50633,         5,       215,         0,         4
         7,     30007,790.695572,      44.0,      42.3,     37943,     43621,     78715,        42,       729,         0,         0,     23497,     26728,     51342,        44,       133,         0,         2
         8,     30008,1096.14708,      43.6,      43.1,     36534,     41297,     89094,        43,      6283,         0,         0,     22800,     25503,     57867,        44,      3499,         0,         0
         9,     30009,393.372048,      15.5,      61.1,     53114,     64690,     96950,        65,      1611,         0,         0,     33917,     39832,     62754,        17,       282,         0,         0
        10,     30010,901.614282,      17.1,      52.6,     54839,     67298,     97538,        57,      2830,         0,         0,     35133,     41365,     63139,        18,       754,         0,         0
        11,     30011,1280.56028,       3.9,         0,     48423,     57573,    108678,         0,      2286,         0,         0,     30606,     35515,     70414,         4,       324,         0,         0
        12,     30012,599.771853,      14.1,         0,     57765,     71810,    110656,         0,      6242,         0,         2,     37123,     43956,     71665,        14,      1994,         0,         2
        13,     30013,278.359848,         0,         0,     67785,     88370,    117545,         0,      9656,         0,      1587,     44351,     53978,     75941,         0,      4047,         0,      1864
        14,     30014,227.153493,         0,         0,     63576,     81406,    112011,         5,     10886,         0,      1568,     41401,     49756,     72436,         1,      5016,         0,      1713
        15,     30015,3152.46340,       1.0,     257.1,     42562,     49298,     77852,       257,      1868,         0,        10,     26533,     30255,     50801,         1,       777,         0,        11
        16,     30016,746.812178,       2.2,      66.9,     53714,     65169,    109132,        67,      9644,         0,      2054,     34437,     40268,     70563,         2,      4870,         0,      1421
        17,     30017,407.588378,       5.2,         0,     58953,     73877,    115158,         0,      6279,         0,         4,     38069,     45288,     74415,         5,      2250,         0,         4
        18,     30018,309.030427,         0,     679.5,     61773,     78387,    118566,       680,      9315,         0,         7,     40126,     47988,     76562,         0,      4202,         0,         7
        19,     30019,196.205397,     163.0,      35.7,     48626,     57370,    110433,        36,     10989,      7777,      1133,     30911,     35616,     71327,       177,      5864,      4940,       873
