TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     41414,     60150,     96284,        14,      1799,         0,         0,     25126,     33642,     54653,        18,      1004,         0,         0
         2,     30002,134.110399,      13.0,         0,     42935,     62315,     96445,        10,      1681,         0,         0,     26057,     34863,     54718,        21,       963,         0,         0
         3,     30003,636.842231,      13.5,         0,     55483,     81564,    106821,        39,      2231,         0,      1150,     33325,     45196,     60696,        31,      1122,         0,       539
         4,     30004,371.455595,       3.3,         0,     51715,     76160,    101415,        21,      1922,         0,      1071,     31015,     42141,     57606,        15,      1009,         0,       503
         5,     30005,1021.14860,      53.5,       5.0,     46150,     66880,    106276,        63,      3106,         0,         0,     28018,     37440,     60529,        70,      1768,         0,         0
         6,     30006,466.806807,       4.8,       4.4,     56750,     83378,    112429,       105,      3065,         0,      1176,     34100,     46225,     64040,        31,      1532,         0,       552
         7,     30007,790.695572,      44.0,      42.3,     55838,     82070,    112765,        93,      2735,         0,      1158,     33542,     45483,     64200,        57,      1327,         0,       543
         8,     30008,1096.14708,      43.6,      43.1,     56091,     81195,    120309,       366,      7002,         0,      1101,     33977,     45390,     68851,       280,      4118,         0,       518
         9,     30009,393.372048,      15.5,      61.1,     67043,     98134,    126297,       190,      4040,         0,      1610,     40443,     54619,     72005,        53,      1931,         0,       599
        10,     30010,901.614282,      17.1,      52.6,     68342,     99911,    126971,       271,      5036,         0,      1641,     41249,     55633,     72430,        61,      2429,         0,       611
        11,     30011,1280.56028,       3.9,         0,     63467,     93015,    135080,       118,      4880,         0,      1525,     38232,     51696,     77287,        28,      2329,         0,       568
        12,     30012,599.771853,      14.1,         0,     70488,    102917,    136979,       330,      7166,         0,      1693,     42381,     57148,     78348,        87,      3514,         0,       630
