TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
        40,     30040,118.118363,     338.7,     264.4,    123673,    174008,    237657,      6501,     17381,     16707,      3427,    102877,    140003,    192570,      3060,     14135,     13776,      3047
        41,     30041, 42.716753,     107.7,     611.7,    117006,    166330,    232959,      4837,     17138,     17596,      3359,     97600,    133814,    189792,      3294,     13939,     15567,      3106
        42,     30042, 43.532671,      70.0,      81.7,    119505,    169654,    240693,      3868,     16950,     15074,      3436,     99624,    136536,    194605,      3129,     13801,     13769,      3173
        43,     30043, 79.992258,     205.4,      82.4,    111908,    160985,    233624,      2150,     16541,     10456,      3257,     93530,    129437,    190015,      2454,     13473,     10220,      3196
        44,     30044, 35.151657,     163.6,         0,    109465,    158081,    232826,      1174,     16188,         0,      1874,     91576,    127047,    189563,      1813,     13251,         0,      2210
        45,     30045, 43.925164,     156.1,      25.8,    106880,    155117,    232986,       743,     15984,         0,      1877,     89526,    124623,    189740,      1372,     13168,         0,      2187
        46,     30046,151.481435,         0,         0,     98849,    146040,    230609,       188,     15508,         0,      2408,     83206,    117210,    188403,       694,     12972,         0,      2576
        47,     30047,         0,         0,         0,    124025,    172559,    270258,         0,     11649,         0,      2021,    102579,    138296,    211939,         0,      9637,         0,      1333
        48,     30048,456.875777,      11.4,         0,    141626,    192796,    258683,         0,     10822,         0,      2947,    116911,    155061,    204568,        17,      8232,         0,      1815
        49,     30049,239.937161,      96.7,     308.5,    158502,    212762,    279991,      1270,     17095,         0,      5848,    130898,    171661,    216292,       588,     13544,         0,      3728
        50,     30050,248.042036,     154.3,     475.7,    147479,    200508,    270629,      4627,     17639,      7193,      4204,    122042,    161686,    211613,      1709,     14323,      5072,      3221
        51,     30051, 46.653357,      69.0,      88.8,    127591,    182965,    243449,      6489,     17680,      9283,      3028,    106055,    147387,    196019,      2927,     14522,      6916,      2536
