TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     65962,     88237,    143124,         0,      1590,         0,         0,     43273,     54591,     91774,        12,       797,         0,         0
         2,     30002,134.110399,      13.0,         0,     69156,     92227,    143428,         0,      1309,         0,         0,     45316,     57150,     91925,        13,       731,         0,         0
         3,     30003,636.842231,      13.5,         0,     99670,    127112,    157769,         6,      2452,         0,       322,     64408,     78970,    100699,        21,       944,         0,       399
         4,     30004,371.455595,       3.3,         0,     92382,    118744,    149935,         0,      1802,         0,       275,     59705,     73685,     96043,         7,       741,         0,       346
         5,     30005,1021.14860,      53.5,       5.0,     76069,    100300,    156431,         5,      4659,         0,         0,     49671,     62280,    100173,        54,      2516,         0,         0
         6,     30006,466.806807,       4.8,       4.4,    102029,    129869,    164972,        31,      4304,         0,       338,     65922,     80705,    105034,        11,      1983,         0,       419
         7,     30007,790.695572,      44.0,      42.3,    100326,    127882,    166013,        62,      3594,         0,       327,     64834,     79455,    105582,        50,      1429,         0,       405
         8,     30008,1096.14708,      43.6,      43.1,     96818,    123623,    175424,        56,     10421,         0,       294,     62680,     76902,    111253,        87,      5842,         0,       367
         9,     30009,393.372048,      15.5,      61.1,    119698,    150904,    184525,       115,      6322,         0,       939,     77254,     94076,    115850,        43,      2883,         0,       371
        10,     30010,901.614282,      17.1,      52.6,    121750,    153288,    185202,       100,      7909,         0,       997,     78577,     95585,    116233,        29,      3818,         0,       388
        11,     30011,1280.56028,       3.9,         0,    113893,    143883,    197059,         0,      7991,         0,       790,     73519,     89606,    122511,         6,      3804,         0,       329
        12,     30012,599.771853,      14.1,         0,    125162,    157346,    200132,         0,     10802,         0,      1101,     80737,     98106,    124014,        18,      5553,         0,       419
        13,     30013,278.359848,         0,         0,    136559,    171277,    210286,       233,     12555,         0,      3932,     88143,    107155,    128801,        12,      6677,         0,      3227
        14,     30014,227.153493,         0,         0,    131822,    165474,    202338,       807,     13160,         0,      3766,     85113,    103396,    125087,         7,      7145,         0,      3014
        15,     30015,3152.46340,       1.0,     257.1,    106188,    134490,    165333,       258,      6820,         0,       370,     68584,     83619,    105277,         1,      3454,         0,       454
        16,     30016,746.812178,       2.2,      66.9,    120120,    151202,    197764,       582,     12422,         0,      3990,     77606,     94347,    122985,       103,      6811,         0,      2582
        17,     30017,407.588378,       5.2,         0,    126516,    159155,    205931,       394,     10700,         0,      1145,     81682,     99324,    126856,        10,      5482,         0,       433
        18,     30018,309.030427,         0,     679.5,    129708,    162949,    210825,      1003,     12316,         0,      1246,     83774,    101785,    129211,         5,      6586,         0,       464
        19,     30019,196.205397,     163.0,      35.7,    113400,    143162,    198841,       414,     13144,     10765,      2929,     73352,     89289,    123629,       767,      7418,      6957,      1941
        20,     30020,173.846732,     143.8,      87.7,    103580,    131508,    195411,       455,     12961,     13754,      2890,     67108,     81936,    122025,      1133,      7543,      8514,      2353
        21,     30021,128.632214,         0,     405.6,    123628,    155523,    209953,      1368,     13395,         0,      3967,     79875,     97081,    128981,        64,      7390,         0,      2605
        22,     30022,104.210697,       4.2,      28.1,    121618,    153073,    210363,      1482,     13767,         0,      3272,     78583,     95543,    129243,       268,      7709,         0,      2399
        23,     30023,135.607746,       8.5,      88.1,    118912,    149785,    210543,      1478,     14002,      8899,      2710,     76867,     93494,    129395,       815,      7986,      4627,      1892
        24,     30024,101.657431,      97.0,       3.8,    115868,    146131,    209376,      1448,     14019,     12872,      2257,     74942,     91203,    128842,      1496,      8056,      7850,      1727
        25,     30025,113.044793,     289.5,     143.4,    110587,    139834,    205623,      1293,     13971,     18353,      2589,     71623,     87237,    127129,      2047,      8093,     10407,      1670
        26,     30026, 56.631464,     183.0,     175.0,    108699,    137591,    206453,      1392,     13892,     20653,      2350,     70440,     85836,    127578,      2337,      8110,     11601,      1900
        27,     30027,153.111351,         0,         0,    122207,    153687,    196440,      1667,     13804,         0,      3168,     78950,     95913,    122310,        22,      7680,         0,      2206
        28,     30028,203.300975,       9.2,     152.7,    118351,    148916,    194540,      2907,     14388,      8585,      2781,     76496,     92933,    121460,       609,      8292,      4800,      1902
        29,     30029, 83.574133,     146.9,       2.4,    112400,    142102,    192961,      4150,     14479,     13033,      2100,     72766,     88666,    120734,      1834,      8448,      7460,      1572
