TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
       839,    110258,156.180685,     314.3,     171.3,    352510,    676308,    924557,      2441,     40004,     48886,     34072,    160673,    297478,    426179,      1647,     25907,     22110,      8746
       840,    110259,156.622740,     474.8,     294.8,    355512,    672084,    892309,      4777,     44427,     67651,     56333,    160538,    294123,    409937,      2687,     27872,     27907,     12423
       841,    110260,160.495251,     378.3,      75.8,    370281,    693025,    919014,      1369,     41409,     64954,     54199,    167362,    304255,    423267,      1949,     26586,     26692,     11871
       842,    110261,319.385365,     501.7,       7.0,    289067,    593963,    871639,       216,     33343,         0,     27525,    131977,    258362,    399560,      1017,     22541,         0,      7983
       843,    110262,244.552257,     159.2,         0,    263148,    554762,    864191,         1,     24145,         0,     19888,    119235,    238572,    393049,       231,     17803,         0,      3305
       844,    110263,148.249298,     483.5,     610.3,    398708,    727350,    934511,      4583,     45290,     76522,     60855,    177887,    318620,    430466,      2301,     27328,     29508,     12909
       845,    110264, 35.089805,      99.3,    1006.3,    402548,    727587,    919248,      6968,     46245,     85277,     61202,    180763,    320047,    423665,      2462,     28177,     31330,     12877
       846,    110265,145.163199,     430.0,     310.0,    366854,    689239,    913322,      3422,     44193,     77045,     57396,    164628,    300887,    418166,      2483,     27213,     29738,     12035
       847,    110266,170.539228,     554.5,     632.2,    390993,    722931,    956817,      1558,     41642,     66529,     56885,    174629,    316584,    440859,      2333,     26222,     26553,     12294
       848,    110267,361.886293,     960.5,      76.3,    330164,    646802,    912593,       568,     35976,     17895,     33351,    148377,    280768,    417362,      1687,     23758,     11390,      8878
       849,    110268,126.975591,     180.0,      98.0,    310685,    622655,    895050,       258,     35674,         0,     29246,    140009,    269808,    409754,      1879,     23695,         0,      8289
       850,    110269,152.198463,     357.0,     231.8,    416185,    743016,    984736,      1889,     42465,     76766,     58246,    184380,    326244,    452845,      2178,     25749,     29003,     12773
       851,    110270, 98.932190,     208.3,       1.7,    396866,    733431,    981760,      1147,     39646,     50035,     57396,    176977,    321602,    451340,      1920,     24919,     21482,     12878
       852,    110271,310.678107,     522.5,     348.5,    345992,    671705,    950289,       712,     36010,     21628,     33835,    154325,    291704,    435134,      1486,     23560,     12552,      8489
       853,    110272,519.490879,     375.3,         0,    263053,    557857,    920836,         0,     25054,         0,     25739,    116515,    238491,    418884,       375,     18583,         0,      8117
       854,    110273, 86.364235,     305.3,     110.7,    478140,    790053,   1009619,      3130,     43637,     92120,     67269,    210092,    349200,    465206,      2151,     25335,     32834,     14525
       855,    110274,104.928275,     359.2,     937.0,    426216,    751052,    960447,      3688,     44826,     87766,     64012,    188850,    330102,    441978,      2187,     26325,     32401,     14011
       856,    110275,160.691126,     453.3,     205.3,    426421,    742376,    956199,      1356,     41679,     72321,     60112,    186597,    324882,    440037,      2116,     24922,     26832,     12666
       857,    110276,353.961229,     694.8,         0,    346422,    673327,    982851,       183,     37157,     22435,     52157,    153367,    292370,    448014,      1289,     23434,     11964,     11157
       858,    110277,747.851713,     398.8,       2.8,    282565,    556812,    940405,         3,     26263,         0,     22370,    122900,    236279,    423938,       399,     18854,         0,      2983
       859,    110278,1029.65019,         0,         0,    407820,    627549,    933694,         0,     28987,         0,     54441,    181230,    274937,    424489,         0,     13169,         0,     10048
       860,    110279,158.010105,     144.5,      69.7,    505497,    738867,    980866,       289,     39465,         0,     67015,    225518,    329000,    452413,       460,     19847,         0,     12717
       861,    110280,133.931969,      48.2,      60.8,    522379,    757685,    965330,       414,     40930,         0,     76426,    233156,    338192,    446719,       524,     21344,         0,     18506
       862,    110281,395.921304,     619.8,     293.2,    481326,    728421,    962414,       571,     45215,     29452,     69102,    214876,    322540,    443703,       917,     24170,      4874,     16030
       863,    110282,177.840578,     255.7,     199.0,    451543,    752744,    966529,      2626,     47648,    119876,     61786,    203580,    334371,    447553,      1099,     27288,     28469,     13972
       864,    110283,152.745989,     375.0,     815.8,    396589,    720276,    929561,      5649,     47612,    121567,     59684,    179666,    318402,    429496,      1417,     28158,     28915,     13331
       865,    110284, 96.443818,     184.8,    2359.3,    397146,    729696,    936522,      7686,     47196,     37004,     58740,    180492,    323172,    432757,      1873,     28480,     16406,     12856
       866,    110285,269.535095,     461.5,     527.0,    477717,    713905,    939727,      1345,     38606,         0,     66538,    212202,    314471,    432459,      1114,     19212,         0,     12378
       867,    110286,170.327701,       3.0,     725.0,    492421,    729937,    949278,      1865,     42221,         0,     68128,    218814,    322370,    437052,      1370,     21879,         0,     12822
       868,    110287,376.078998,     830.8,     566.2,    443124,    734506,    955951,      1716,     45337,         0,     58859,    197236,    321806,    441883,      1047,     24408,         0,     10403
       869,    110288,120.425123,      13.7,     256.0,    425857,    751263,    961460,      1668,     47107,         0,     62735,    189961,    330065,    445127,      1465,     26501,         0,     13936
       870,    110289,173.723900,     323.7,     299.0,    460109,    793157,    981503,      2985,     47056,     27435,     65650,    204962,    350683,    455040,      1296,     26918,      4495,     14640
       871,    110290,117.657083,     335.2,     340.5,    417696,    743651,    925074,      4675,     47477,         0,     64396,    186486,    326440,    427230,      1587,     27740,         0,     13850
       872,    110291,161.312978,     115.5,    1407.2,    412305,    737674,    922689,      4896,     46835,     73043,     62455,    184431,    324170,    424771,      1970,     27813,     28325,     13146
       873,    110292, 26.234221,     293.8,      70.3,    407654,    732010,    918408,      7650,     46666,     75375,     61827,    183122,    322387,    423631,      2416,     28276,     27562,     13014
       874,    110293,211.501483,    1083.7,     152.5,    496505,    711624,    948501,      3075,     36444,         0,     68729,    217939,    311655,    433304,      1968,     18365,         0,     13000
       875,    110294,663.476578,         0,         0,    464969,    637608,    925120,         0,     28635,         0,     69202,    198074,    273529,    422517,         0,     12905,         0,     13217
       876,    110295,435.236690,    1396.3,    3826.2,    524854,    736011,    974348,      5643,     35396,         0,     72454,    228820,    321695,    445415,      1874,     18102,         0,     13964
       877,    110296,222.177764,         0,    1982.7,    477530,    698408,    932593,      5290,     40241,         0,     71180,    209209,    304664,    424256,       783,     21622,         0,     13532
       878,    110297,137.947402,         0,    1304.2,    435132,    710454,    939085,      4949,     42751,         0,     57273,    191514,    310091,    429948,       480,     23702,         0,     12819
       879,    110298,187.577643,     138.0,    1083.2,    436810,    762240,    968876,      3836,     44671,         0,     62758,    193970,    335490,    446113,      1107,     25297,         0,     13396
       880,    110299,130.982325,     451.3,    1026.0,    457566,    784203,    978237,      3699,     44804,     80466,     61187,    202638,    346335,    450918,      1510,     25673,     28729,     14845
       881,    110300,190.953345,         0,    2267.7,    507246,    730846,    935764,      6628,     38137,         0,     76607,    220206,    318316,    427060,       804,     20772,         0,     18283
       882,    110301,166.242012,         0,    1080.5,    462033,    718266,    928645,      4658,     39943,         0,     63736,    200339,    311897,    425526,       983,     22506,         0,     14537
       883,    110302,150.851544,     508.7,     172.8,    460354,    753310,    930739,      2202,     40938,     91825,     66389,    199857,    328997,    427090,      1643,     23620,     30678,     14109
       884,    110303,109.489844,     581.8,     147.3,    464630,    771175,    982263,      1188,     41018,     96475,     63937,    201908,    337539,    450219,      2313,     24024,     32609,     13671
       885,    110304, 73.033322,     231.2,     179.5,    442556,    745098,    938032,      2121,     42334,     91291,     66268,    193437,    326210,    430887,      2523,     24716,     32052,     13758
