TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
      2876,    490660,164.070271,     240.0,     170.0,    253906,    425026,    576795,      8441,    101240,         0,     30312,    159635,    264053,    379229,      5955,     55206,         0,     14967
      2877,    490661,143.597165,       2.0,    2154.0,    255019,    418552,    581307,      9174,     88794,     39677,     49173,    160874,    260104,    384153,      4239,     50537,     17459,     21292
      2878,    490662,114.561574,     701.0,      35.0,    242455,    412328,    579866,     11970,     98864,     38128,     39515,    152806,    256434,    381195,      5952,     54853,     16741,     16648
      2879,    490663, 72.736850,         0,     651.0,    260542,    423060,    590977,     10652,     91393,     53060,     51677,    164471,    263189,    389893,      4872,     51956,     23567,     22291
      2880,    490664,422.554816,    1097.0,     112.0,    259695,    415177,    583324,      5517,     83046,     21582,     40357,    165932,    258391,    384967,      4276,     48203,      9518,     16207
      2881,    490665, 69.038726,     191.0,      64.0,    257978,    416666,    571137,      9835,     90551,     44959,     50891,    162983,    259082,    377316,      4853,     51663,     20564,     21407
      2882,    490666,140.663270,     906.0,    1857.0,    261596,    426952,    590561,     13184,     97012,     87903,     52602,    165099,    265569,    388406,      5812,     54525,     38821,     22854
      2883,    490667,114.571710,     295.0,         0,    261671,    432273,    582915,      8690,    113487,     45537,     19718,    163278,    268372,    382666,      6858,     58928,     20532,     11187
      2884,    490668,177.518499,     416.0,      69.0,    265682,    438107,    572948,      9978,    110425,     31068,     31377,    165648,    271581,    375662,      6678,     58564,     13347,     14135
      2885,    490669,157.371144,     468.0,         0,    244712,    402056,    546251,     13321,    114560,     40425,     32535,    152122,    248547,    356790,      7251,     60290,     17770,     15207
      2886,    490670,157.839328,     449.0,     274.0,    242503,    392448,    531027,     13554,    119989,     51577,     21575,    149899,    242178,    346382,      7763,     61312,     21079,     11765
      2887,    490671, 94.912764,     650.0,     576.0,    243350,    388508,    525548,     15663,    123603,     75172,     22636,    149313,    238335,    341272,      8134,     61776,     29091,     12025
