TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     48105,     61127,    117524,         0,       741,         0,         0,     31384,     37518,     75674,        11,       341,         0,         0
         2,     30002,134.110399,      13.0,         0,     50775,     65414,    117724,         0,       622,         0,         0,     33217,     40094,     75757,        13,       299,         0,         0
         3,     30003,636.842231,      13.5,         0,     75948,    102060,    131126,         1,      1273,         0,       147,     49571,     62950,     84352,        15,       399,         0,       192
         4,     30004,371.455595,       3.3,         0,     69174,     93490,    123911,         0,       908,         0,       124,     45230,     57419,     79744,         4,       319,         0,       157
         5,     30005,1021.14860,      53.5,       5.0,     56245,     74056,    130537,         5,      3150,         0,         0,     36950,     45415,     83998,        54,      1658,         0,         0
         6,     30006,466.806807,       4.8,       4.4,     78181,    104842,    137971,         4,      2815,         0,       155,     51036,     64735,     88732,         9,      1106,         0,       205
         7,     30007,790.695572,      44.0,      42.3,     76574,    102839,    138819,        48,      2110,         0,       149,     49981,     63451,     89303,        46,       612,         0,       196
         8,     30008,1096.14708,      43.6,      43.1,     73557,     98683,    147963,        43,      9440,         0,       133,     48190,     60901,     95099,        51,      5209,         0,       170
         9,     30009,393.372048,      15.5,      61.1,     96822,    125889,    155274,       102,      4678,         0,       186,     62762,     78089,     99612,        32,      1901,         0,       172
        10,     30010,901.614282,      17.1,      52.6,     99065,    128253,    155874,        95,      6473,         0,       215,     64183,     79592,    100000,        28,      2904,         0,       184
        11,     30011,1280.56028,       3.9,         0,     90496,    118881,    165524,         0,      6502,         0,       152,     58776,     73659,    106212,         4,      2707,         0,       142
        12,     30012,599.771853,      14.1,         0,    102808,    132297,    167495,         0,      9865,         0,       286,     66512,     82105,    107456,        15,      4778,         0,       204
        13,     30013,278.359848,         0,         0,    115241,    146623,    174054,        17,     11964,         0,      2548,     74638,     91264,    111431,         9,      6120,         0,      2632
        14,     30014,227.153493,         0,         0,    110096,    140597,    168935,       530,     12694,         0,      2452,     71301,     87454,    108306,         2,      6684,         0,      2447
        15,     30015,3152.46340,       1.0,     257.1,     82355,    109474,    138284,       257,      5302,         0,       170,     53704,     67703,     88945,         1,      2599,         0,       228
        16,     30016,746.812178,       2.2,      66.9,     97300,    126230,    166254,       340,     11812,         0,      2783,     63159,     78399,    106591,        48,      6298,         0,      2066
