TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     28528,     41375,    107493,         0,       494,         0,         0,     27635,     35036,     92016,        31,       289,         0,         0
         2,     30002,134.110399,      38.5,         0,     30496,     45152,    107602,         0,       348,         0,         0,     29417,     37883,     91922,        39,       236,         0,         0
         3,     30003,636.842231,      18.5,         0,     52381,     85683,    126332,         0,       974,         0,       120,     47081,     68261,    107542,        19,       483,         0,       101
         4,     30004,371.455595,       5.3,         0,     45728,     74280,    116200,         0,       702,         0,         0,     41732,     59741,     99232,         5,       356,         0,         0
         5,     30005,1021.14860,      70.5,      10.1,     35062,     53252,    125512,        10,      1896,         0,         0,     33187,     44057,    106502,        71,      1457,         0,         0
         6,     30006,466.806807,       8.6,       4.4,     54695,     89537,    135809,         4,      1865,         0,       133,     48937,     71157,    115169,         9,      1073,         0,       111
         7,     30007,790.695572,      44.0,      63.8,     53034,     86764,    137144,        64,      1455,         0,       124,     47601,     69071,    116580,        44,       717,         0,       104
         8,     30008,1096.14708,      53.2,      44.7,     50647,     80770,    148728,        45,      9512,         0,         0,     46016,     64989,    125417,        65,      6825,         0,         0
         9,     30009,393.372048,      37.1,      71.4,     72904,    118780,    158243,       100,      3623,         0,       291,     63926,     94235,    133381,        48,      1901,         0,       261
        10,     30010,901.614282,      19.7,      52.6,     75389,    122113,    158867,        91,      5661,         0,       318,     65929,     96898,    133829,        40,      3283,         0,       286
        11,     30011,1280.56028,       8.3,         0,     66663,    109039,    171966,         0,      5449,         0,       221,     58810,     86408,    145006,         8,      3047,         0,       196
        12,     30012,599.771853,      21.4,         0,     80520,    128997,    175065,         0,     10192,         0,       376,     69935,    102308,    147386,        26,      6775,         0,       340
        13,     30013,278.359848,      14.4,         0,     94628,    148566,    182968,         2,     13211,         0,       667,     81401,    118443,    153438,        43,      9261,         0,       395
